danceability,energy,track_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,track_name,track_artist,track_id
0.5,0.427,9,-13.36,1,0.03,0.000137,0.832,0.169,0.165,187.969,245133,False,3,Neo's New Bass City,Blackjesus Yoshua,3iSwUpPOuTNx6jPo9TnCdL
0.8,0.36,4,-17.801,0,0.168,0.035,0.813,0.32,0.605,138.04,182282,False,1,Doctor Doug's Experiment,Blackjesus Yoshua,1LopAd8ydR61jezG7GkdKc
0.708,0.418,0,-16.249,1,0.0428,0.457,0.885,0.113,0.11,112.01,212140,False,2,Native American Property,Blackjesus Yoshua,69sYfBeqkPVCGsS3SQGjrB
0.722,0.382,2,-15.882,1,0.0461,0.0616,0.857,0.0815,0.363,120.024,200359,False,2,Mind of a Criminal,Blackjesus Yoshua,3oIMjN1FTSTjgB30iud4Wn
0.631,0.373,0,-12.12,1,0.0407,0.479,0.331,0.34,0.237,180.054,234397,False,3,My Loving Spirit,Blackjesus Yoshua,0pwnFVMcl4NjhRyqK5tONy
0.487,0.401,9,-14.647,1,0.359,0.0223,4.29e-06,0.0779,0.122,77.747,111491,True,15,Demontime,757babyglock,7CbPNEr8vtjL9VR7sUozjS
0.802,0.506,9,-8.635,0,0.161,0.29,0.000635,0.156,0.386,150.048,218429,True,14,Don't Leave Me,Yung Shadøw,5pnJCau6pxNCzNEEiwiUtv
0.728,0.653,9,-12.777,1,0.0408,0.146,0.000282,0.103,0.965,117.845,237560,False,14,Magic,The Cars,4hqMk8ISgWo8r7rndwXfC2
0.796,0.675,5,-12.777,1,0.0293,0.0144,0.000949,0.107,0.761,131.009,196667,False,4,I Refuse,The Cars,6Sy94SC7O6I14gtamygRAk
0.732,0.416,10,-20.573,0,0.0413,0.000716,0.882,0.0833,0.967,92.696,194416,False,14,Frosty Night,KingJa,5zL1zyCMEjUPEqJOvjQNTT
0.805,0.721,6,-3.718,0,0.387,0.212,0.000247,0.112,0.786,180.079,218305,False,14,Ire,KayFresh,6RenBwsTCMIWr0UK6aQ2Oz
0.855,0.545,7,-11.331,1,0.104,0.0119,0.736,0.0876,0.323,100.032,134399,False,14,E-Cumbia,Noob_Memeus,0uqHw0ZTqeGnIufFieLoyK
0.473,0.847,0,-8.584,1,0.043,0.00176,8.71e-06,0.0459,0.801,162.686,246507,False,4,Bravi Ragazzi (Bravo Muchachos),Miguel Bosé,4wycYbBBiWOEG8QDSimQu0
0.583,0.61,0,-9.817,1,0.0262,0.127,0.0,0.139,0.467,92.171,164267,False,2,Ce la fai,Miguel Bosé,08sEyVIXaYe1kwq9UJSRZk
0.543,0.802,9,-11.778,0,0.0689,0.024,2.38e-06,0.0667,0.697,145.168,186827,False,0,Olympic Games (Voy A Ganar),Miguel Bosé,18XE7PhBmqSo2NaWZbRsqq
0.484,0.411,5,-17.568,1,0.0328,0.187,0.0008,0.368,0.348,87.834,236533,False,0,Credo En Ti,Miguel Bosé,1BzpuhUcww3VpS17CrtAPt
0.377,0.882,4,-8.502,1,0.0491,0.257,0.0,0.338,0.743,185.549,206933,False,0,Piu' Sexy,Miguel Bosé,3W50sa1Twg0u4fXnwpAZAZ
0.704,0.596,2,-12.177,0,0.0314,0.0334,0.0161,0.0956,0.94,127.524,276667,False,12,Anna (Ana),Miguel Bosé,7B283FHU7hIkHlPr1MMcii
0.676,0.783,2,-10.104,1,0.061,0.419,1.44e-05,0.186,0.911,134.087,228907,False,0,Metropoli (Metropolis),Miguel Bosé,7j2jx7L1dbkA0WxyMhbT1Q
0.718,0.565,2,-13.103,1,0.0317,0.0877,0.0136,0.0842,0.721,131.147,248693,False,0,Indio,Miguel Bosé,4aQaJ8rVlmmVwmxfon37ce
0.523,0.397,3,-13.776,1,0.0332,0.168,0.0,0.177,0.414,75.135,204600,False,3,Ti Amero' (Te Amarè),Miguel Bosé,2onJ5H0eWjwMJ974jFijpl
0.511,0.544,7,-15.654,0,0.0291,0.000563,0.222,0.375,0.715,161.281,245707,False,0,Miraggi,Miguel Bosé,3qLx3PW9FY9rLGQOieWMPF
0.43,0.323,3,-10.217,1,0.0321,0.8,0.0,0.133,0.237,124.265,219000,False,0,Al Di La' (Mas Allà),Miguel Bosé,5QCmKdyowrHPaHnr5HTVeZ
0.708,0.869,2,-11.908,1,0.0339,0.0159,0.521,0.178,0.886,136.539,219800,False,0,Súper Supermán,Miguel Bosé,7HIpMMsxWXaeMQ48tULESR
0.521,0.465,5,-12.334,1,0.0371,0.607,0.0,0.452,0.829,77.992,99667,False,0,Buona Notte Fiorellino,Miguel Bosé,2bwmutSx2Stra2JHj4yi93
0.585,0.393,9,-11.396,1,0.0294,0.501,0.000434,0.312,0.369,135.387,284867,False,0,Gente Come Noi,Miguel Bosé,5SReS8glTZTTLBGQMJJS15
0.573,0.809,9,-9.005,1,0.0485,0.0458,0.00161,0.285,0.619,108.962,280760,False,0,Sono Amici (Son Amigos),Miguel Bosé,3E3NazVf8x52SsmXd0KhjS
0.549,0.755,2,-12.467,0,0.031,0.000246,0.0205,0.193,0.75,158.758,242267,False,0,Che Sia,Miguel Bosé,4B6SSk9eSryPm3ucSoH8jg
0.218,0.897,4,-6.102,0,0.0717,2.6e-06,0.857,0.411,0.127,75.726,167535,False,5,Crossing Stars,DXM,4ipKfnmUOEXy9AfSt8nM1E
0.25,0.824,7,-6.489,1,0.165,1.07e-05,0.161,0.555,0.286,140.199,142082,False,5,"The Torn, Withered, and Self Medicated",DXM,4rvx40wKjymAeXNUUxihcV
0.308,0.828,6,-6.202,0,0.0609,8.04e-05,0.00236,0.332,0.702,81.59,128805,False,5,A Concious Action,DXM,1jw8pE3dAXjvVrnGpStsMk
0.212,0.931,9,-6.14,1,0.261,7.42e-06,0.0257,0.346,0.71,83.553,134681,False,5,The Virus,DXM,0HbqnFdNF7SaXbouKydVc8
0.257,0.759,0,-6.454,1,0.0686,9.7e-06,0.775,0.205,0.244,74.29,283683,False,5,Surrender,DXM,7xKe1nDLTvPyDr6RuldSxq
0.388,0.797,5,-2.03,1,0.03,0.127,0.0,0.174,0.397,151.23,158907,False,2,Cien Abriles,Guardianes Del Amor,1B68B5kEv8M0aQewGTw0dF
0.667,0.739,4,-3.02,0,0.0482,0.724,2.72e-06,0.287,0.815,78.822,190560,False,3,Amor Se Escribe Con Llanto,Guardianes Del Amor,7BhX2fG4FQceYSrqtPSNri
0.697,0.923,5,-2.866,1,0.228,0.683,1.95e-06,0.0908,0.961,158.126,218267,False,1,"El Perro, el Gato y Yo",Guardianes Del Amor,6fkvAMbrMDbyxEDQDXohMr
0.516,0.784,4,-4.137,1,0.0281,0.0226,0.0,0.327,0.375,78.014,244467,False,1,Palabras Tristes,Guardianes Del Amor,4z93vwN56JnzVlXVv6oKtK
0.619,0.903,4,-4.005,1,0.141,0.26,0.0,0.111,0.933,166.028,216653,False,4,Corazón Romántico,Guardianes Del Amor,3nmVQq2I88mRjrA6OwmBn3
0.77,0.749,2,-7.429,0,0.0512,0.0732,3.53e-05,0.0476,0.84,80.985,207640,False,2,Adios Con Adios Se Paga,Guardianes Del Amor,2kVvFKoSzBawpK15AgzKuB
0.378,0.603,2,-4.23,1,0.0431,0.177,0.0,0.107,0.232,169.59,196693,False,4,Mi Tesoro,Guardianes Del Amor,7zvIJwVNW8OE3CwgV7o6uX
0.558,0.577,4,-5.196,1,0.0344,0.194,0.0,0.108,0.29,85.014,218173,False,5,Un Pedazo de Luna,Guardianes Del Amor,521VecGSgB9IHdp73vT7c9
0.438,0.681,0,-3.288,1,0.0269,0.389,0.0,0.254,0.674,169.41,230240,False,2,Los Ángeles Lloran,Guardianes Del Amor,2ATkO1zHEu27g3VsWC4F4c
0.54,0.691,2,-5.395,1,0.0435,0.104,6.23e-06,0.272,0.621,173.356,227427,False,5,Dejame Secar Tus Lagrimas,Guardianes Del Amor,4DrBKLEPiJW5cQGfQLkOCj
0.321,0.404,9,-8.994,0,0.033,0.957,0.00116,0.108,0.159,65.74,162506,False,1,Winter’s Beach,Django Django,4xGWqGYH6Kojgj2Gg3GNqY
0.638,0.754,8,-6.002,1,0.0263,0.00585,0.00218,0.143,0.465,109.987,247734,False,7,Sand Dunes,Django Django,6XuvZlhZhq6kDBaWd2O07k
0.826,0.811,0,-7.123,1,0.0492,0.0792,0.0,0.362,0.85,135.023,176161,False,2,Swimming at Night,Django Django,7rSrhS0IRnqwG97mHs8smn
0.621,0.889,1,-7.491,1,0.0288,0.0389,0.0362,0.167,0.338,130.007,286447,False,4,Flash Forward,Django Django,1zT8zvNiMJmL34ahbJgS7o
0.489,0.669,10,-6.664,0,0.0328,0.0417,0.0824,0.0883,0.518,164.083,249294,False,2,Ghost Rider,Django Django,1nIAa9i6NivV726xGkOioh
0.514,0.807,8,-5.584,1,0.0298,0.00258,0.0,0.369,0.625,145.031,215552,False,9,Blue Hazy Highs,Django Django,72mxb3F7mscqzCspQ5UKiU
0.635,0.13,3,-18.35,1,0.0311,0.84,0.259,0.12,0.293,100.0,139625,False,14,Luck,Appleby,3SBWvEd2AXOsXjqN61K3fz
0.758,0.277,9,-15.992,0,0.072,0.0768,0.308,0.0823,0.111,132.025,203639,False,2,Flower of Passion,Blackjesus Yoshua,1T1mC0ISuX7HS3e3Bk6atf
0.612,0.753,5,-11.623,0,0.0462,0.0891,0.342,0.101,0.703,114.935,206785,False,2,Shinnindo's Mare,Blackjesus Yoshua,0Kmt86I7DjjLoWvhSLdPpi
0.549,0.475,10,-13.865,1,0.0269,0.000762,0.0515,0.0722,0.102,100.037,238759,False,2,Scaler Warfare,Blackjesus Yoshua,7HYwKw6Q5p4uMbBrbAcjNa
0.578,0.465,2,-13.573,0,0.0307,0.204,0.595,0.114,0.233,100.087,238759,False,3,Othello's Last Winter,Blackjesus Yoshua,7xDI9DFX7NrDGlR5LGvSQJ
0.295,0.632,1,-14.184,1,0.094,0.00483,0.802,0.475,0.429,122.019,212950,False,2,Nuclear Winter Blues,Blackjesus Yoshua,4csfH0rs9eEdtNqW3Sfjzd
0.705,0.426,2,-13.468,1,0.0672,0.031,0.894,0.215,0.874,160.134,218070,False,2,Hey Bo Grover,Blackjesus Yoshua,12Fd1eOelNq4demVPJqSsE
0.593,0.341,3,-15.67,0,0.0283,0.129,0.748,0.0582,0.63,150.226,213159,False,3,Go Outside,Blackjesus Yoshua,5j8f98MIi8cQuz6rth3uNe
0.802,0.406,7,-13.492,1,0.0413,0.00795,0.867,0.168,0.654,119.999,210051,False,3,The Automotons,Blackjesus Yoshua,5bkA5CBW17LS3enGkDbgnP
0.549,0.413,8,-13.203,0,0.0363,0.0415,0.889,0.11,0.319,160.017,218070,False,2,Baked Beans,Blackjesus Yoshua,4tCGIHexzRAoCGPDBLXCFn
0.752,0.39,2,-16.158,1,0.0415,0.875,0.805,0.103,0.72,119.975,192026,False,3,Angers Angel,Blackjesus Yoshua,60Ta2CWxVxigyR3KVrmrDY
0.543,0.675,10,-9.375,0,0.0301,0.00526,0.827,0.192,0.447,164.082,195683,False,7,Zap These Roaches,Blackjesus Yoshua,3Jpyl29C0YeoarEqf8UxQT
0.482,0.279,4,-13.436,1,0.0345,0.77,0.677,0.105,0.567,125.739,212625,False,14,True Enough,Alex Alavi,3qRxIyB1Y2zbgDY8d0QKPP
0.712,0.161,3,-14.255,1,0.0369,0.843,0.00974,0.103,0.708,129.68,150000,False,14,We Are 2,Alex Alavi,5yPcfQuj1HFzfoytOJFa96
0.637,0.883,3,-3.773,1,0.153,0.421,0.0,0.0725,0.966,173.841,166507,False,14,El Principio Del Infierno,Alfredo Olivas,1gpapbiZ2RoAayabmRqMq5
0.803,0.377,10,-14.176,0,0.102,0.0689,0.846,0.168,0.389,120.001,202606,False,7,East,Neo Soulstress,2MDtSFL1MCVQJMKMly4X6J
0.692,0.293,5,-12.835,1,0.0833,0.775,0.324,0.0778,0.499,79.958,198504,False,7,North,Neo Soulstress,4y1NH8PzVw8Dd7e6eDjN9n
0.504,0.452,10,-14.997,0,0.0478,0.203,0.845,0.0759,0.512,139.912,196232,False,7,South,Neo Soulstress,6sUBRvyJDIYcdBrSe5Pydl
0.742,0.667,0,-12.544,1,0.107,0.444,0.655,0.425,0.237,109.743,190354,False,7,West,Neo Soulstress,3nvHIop57NFffpZtQJ9hG0
0.364,0.122,10,-15.674,1,0.0389,0.883,0.881,0.0822,0.191,81.437,365840,False,0,New Moon - Reprise (V2.1),American Film Orchestra,3tLRZ0OrSYOAKe4V484PTl
